# Cumulative Title List — All Titles and Unlock Conditions

This page lists all the Titles currently available in Phantasy Star Online 2: New Genesis, in one sortable table. Users should use this page with their browser's built-in search function to search for specific keywords, or by sorting the table alphabetically by Title Name.
Cumulative Title List
Player Titles | Enemy Titles | Item Titles | Quest Titles | Task Titles | Communication Titles | Map Titles | Limited-Time Titles
Player | Force | Road to Mastery: Force II | Reach Force Level 50. | "Art of War" | 5 | 0 | N-FO-EX-Cube x1
Player | Fighter | Professional Fighter I | Reach Fighter Level 20. | "Fighter" | 5 | 5 | -
Player | Fighter | Professional Fighter II | Reach Fighter Level 35. | "Warrior" | 5 | 5 | -
Player | Fighter | Professional Fighter III | Reach Fighter Level 40. | "Soaring" | 5 | 5 | -
Player | Fighter | Professional Fighter IV | Reach Fighter Level 45. | "Utmost" | 5 | 5 | -
Player | Fighter | Professional Fighter V | Reach Fighter Level 60. | "Armed" | 5 | 5 | -
Player | Fighter | Professional Fighter VI | Reach Fighter Level 70. | "Dancing" | 5 | 5 | -
Player | Fighter | Professional Fighter VII | Reach Fighter Level 80. | "Steel Fist" | 5 | 5 | -
Player | Fighter | Professional Fighter VIII | Reach Fighter Level 100. | "Explosive Fist" | 5 | 10 | -
Player | Fighter | Road to Mastery: Fighter I | Reach Fighter Level 30. | "Impact" | 5 | 0 | N-FI-EX-Cube x1
Player | Fighter | Road to Mastery: Fighter II | Reach Fighter Level 50. | "Piercing" | 5 | 0 | N-FI-EX-Cube x1
Player | Gunner | Professional Gunner I | Reach Gunner Level 20. | "Gunner" | 5 | 5 | -
Player | Gunner | Professional Gunner II | Reach Gunner Level 35. | "Gunslinger" | 5 | 5 | -
Player | Gunner | Professional Gunner III | Reach Gunner Level 40. | "Chain" | 5 | 5 | -
Player | Gunner | Professional Gunner IV | Reach Gunner Level 45. | "Linked" | 5 | 5 | -
Player | Gunner | Professional Gunner V | Reach Gunner Level 60. | "Shoot" | 5 | 5 | -
Player | Gunner | Professional Gunner VI | Reach Gunner Level 70. | "Sniping" | 5 | 5 | -
Player | Gunner | Professional Gunner VII | Reach Gunner Level 80. | "Twin Machine Guns" | 5 | 5 | -
Player | Gunner | Professional Gunner VIII | Reach Gunner Level 100. | "Wild Dance" | 5 | 10 | -
Player | Gunner | Road to Mastery: Gunner I | Reach Gunner Level 30. | "Acrobatics" | 5 | 0 | N-GU-EX-Cube x1
Player | Gunner | Road to Mastery: Gunner II | Reach Gunner Level 50. | "Flourish" | 5 | 0 | N-GU-EX-Cube x1
Player | Techter | Professional Techter I | Reach Techter Level 20. | "Techter" | 5 | 5 | -
Player | Techter | Professional Techter II | Reach Techter Level 35. | "Artisan" | 5 | 5 | -
Player | Techter | Professional Techter III | Reach Techter Level 40. | "Element" | 5 | 5 | -
Player | Techter | Professional Techter IV | Reach Techter Level 45. | "Support" | 5 | 5 | -
Player | Techter | Professional Techter V | Reach Techter Level 60. | "Prayer" | 5 | 5 | -
Player | Techter | Professional Techter VI | Reach Techter Level 70. | "Purify" | 5 | 5 | -
Player | Techter | Professional Techter VII | Reach Techter Level 80. | "Short Cane" | 5 | 5 | -
Player | Techter | Professional Techter VIII | Reach Techter Level 100. | "Mystery" | 5 | 10 | -
Player | Techter | Road to Mastery: Techter I | Reach Techter Level 30. | "Supplicate" | 5 | 0 | N-TE-EX-Cube x1
Player | Techter | Road to Mastery: Techter II | Reach Techter Level 50. | "Miracle" | 5 | 0 | N-TE-EX-Cube x1
Player | Braver | Professional Braver I | Reach Braver Level 20. | "Braver" | 5 | 5 | -
Player | Braver | Professional Braver II | Reach Braver Level 35. | "Valiant" | 5 | 5 | -
Player | Braver | Professional Braver III | Reach Braver Level 40. | "Tempo" | 5 | 5 | -
Player | Braver | Professional Braver IV | Reach Braver Level 45. | "Conflict" | 5 | 5 | -
Player | Braver | Professional Braver V | Reach Braver Level 60. | "Adventure" | 5 | 5 | -
Player | Braver | Professional Braver VI | Reach Braver Level 70. | "Reckless" | 5 | 5 | -
Player | Braver | Professional Braver VII | Reach Braver Level 80. | "Short Sword" | 5 | 5 | -
Player | Braver | Professional Braver VIII | Reach Braver Level 100. | "Valor" | 5 | 10 | -
Player | Braver | Road to Mastery: Braver I | Reach Braver Level 30. | "Swordsmanship" | 5 | 0 | N-BR-EX-Cube x1
Player | Braver | Road to Mastery: Braver II | Reach Braver Level 50. | "Archer" | 5 | 0 | N-BR-EX-Cube x1
Player | Bouncer | Professional Bouncer I | Reach Bouncer Level 20. | "Bouncer" | 5 | 5 | -
Player | Bouncer | Professional Bouncer II | Reach Bouncer Level 35. | "Bodyguard" | 5 | 5 | -
Player | Bouncer | Professional Bouncer III | Reach Bouncer Level 40. | "Down" | 5 | 5 | -
Player | Bouncer | Professional Bouncer IV | Reach Bouncer Level 45. | "Defeat" | 5 | 5 | -
Player | Bouncer | Professional Bouncer V | Reach Bouncer Level 60. | "Hired" | 5 | 5 | -
Player | Bouncer | Professional Bouncer VI | Reach Bouncer Level 70. | "Martial Arts" | 5 | 5 | -
Player | Bouncer | Professional Bouncer VII | Reach Bouncer Level 80. | "Flying Sword" | 5 | 5 | -
Player | Bouncer | Professional Bouncer VIII | Reach Bouncer Level 100. | "Leap" | 5 | 10 | -
Player | Bouncer | Road to Mastery: Bouncer I | Reach Bouncer Level 30. | "Rowdy" | 5 | 0 | N-BO-EX-Cube x1
Player | Bouncer | Road to Mastery: Bouncer II | Reach Bouncer Level 50. | "Outlaw" | 5 | 0 | N-BO-EX-Cube x1
Player | Waker | Professional Waker I | Reach Waker Level 20. | "Summon" | 5 | 5 | -
Player | Waker | Professional Waker II | Reach Waker Level 35. | "Contract" | 5 | 5 | -
Player | Waker | Professional Waker III | Reach Waker Level 40. | "Fairy" | 5 | 5 | -
Player | Waker | Professional Waker IV | Reach Waker Level 45. | "Phantom" | 5 | 5 | -
Player | Waker | Professional Waker V | Reach Waker Level 60. | "Spirit" | 5 | 5 | -
Player | Waker | Professional Waker VI | Reach Waker Level 70. | "Awaken" | 5 | 5 | -
Player | Waker | Professional Waker VII | Reach Waker Level 80. | "Musical Instrument" | 5 | 5 | -
Player | Waker | Professional Waker VIII | Reach Waker Level 100. | "Divination" | 5 | 10 | -
Player | Waker | Road to Ma

[content continues at arks-visiphone.com]
