# Seasonal Points Exchange Shop and Point Exchange Rewards (Part 2)

Sections in this file: Exchange Shop Details (NGS 3rd Anniversary Event)

== Exchange Shop Details (NGS 3rd Anniversary Event) ==
This shop's selection was available during the NGS 3rd Anniversary Event .
Seasonal Points Exchange Shop (NGS 3rd Anniversary Event)
Rarity | Image | Name | Price | Quantity Limit | Notes
Anniversary SP Scratch Ticket x1 | 1,000 5,000 10,000 15,000 20,000 30,000 | 20 20 20 20 20 20 | This ticket allows you one attempt at the Anniversary SP Scratch.
Aeoni Dekelion Wire +80 x1 | 10,000 | 1 | Equippable at Level 50. Unlocked at Potential Level 6. Contains the following Augments: C/Sezun Terceranifiv C/Gladia Soul LC C/Halphinale LC C/Gigas Maste LC C/Highret Domina LC C/Grand Dread Keeper LC
Aeoni Dekelion Spear +80 x1 | 10,000 | 1 | Equippable at Level 50. Unlocked at Potential Level 6. Contains the following Augments: C/Sezun Terceranifiv C/Gladia Soul LC C/Halphinale LC C/Gigas Maste LC C/Highret Domina LC C/Grand Dread Keeper LC
Aeoni Dekelion Daggers +80 x1 | 10,000 | 1 | Equippable at Level 50. Unlocked at Potential Level 6. Contains the following Augments: C/Sezun Terceranifiv C/Gladia Soul LC C/Halphinale LC C/Gigas Maste LC C/Highret Domina LC C/Grand Dread Keeper LC
Aeoni Dekelion Saber +80 x1 | 10,000 | 1 | Equippable at Level 50. Unlocked at Potential Level 6. Contains the following Augments: C/Sezun Terceranifiv C/Gladia Soul LC C/Halphinale LC C/Gigas Maste LC C/Highret Domina LC C/Grand Dread Keeper LC
Aeoni Dekelion Knuckles +80 x1 | 10,000 | 1 | Equippable at Level 50. Unlocked at Potential Level 6. Contains the following Augments: C/Sezun Terceranifiv C/Gladia Soul LC C/Halphinale LC C/Gigas Maste LC C/Highret Domina LC C/Grand Dread Keeper LC
Aeoni Dekelion Gunblade +80 x1 | 10,000 | 1 | Equippable at Level 50. Unlocked at Potential Level 6. Contains the following Augments: C/Sezun Terceranifiv C/Gladia Soul LC C/Halphinale LC C/Gigas Maste LC C/Highret Domina LC C/Grand Dread Keeper LC
Aeoni Dekelion Rifle +80 x1 | 10,000 | 1 | Equippable at Level 50. Unlocked at Potential Level 6. Contains the following Augments: C/Sezun Terceranifiv C/Gladia Soul LC C/Halphinale LC C/Gigas Maste LC C/Highret Domina LC C/Grand Dread Keeper LC
Aeoni Dekelion Launcher +80 x1 | 10,000 | 1 | Equippable at Level 50. Unlocked at Potential Level 6. Contains the following Augments: C/Sezun Terceranifiv C/Gladia Soul LC C/Halphinale LC C/Gigas Maste LC C/Highret Domina LC C/Grand Dread Keeper LC
Aeoni Dekelion Machine Guns +80 x1 | 10,000 | 1 | Equippable at Level 50. Unlocked at Potential Level 6. Contains the following Augments: C/Sezun Terceranifiv C/Gladia Soul LC C/Halphinale LC C/Gigas Maste LC C/Highret Domina LC C/Grand Dread Keeper LC
Aeoni Dekelion Rod +80 x1 | 10,000 | 1 | Equippable at Level 50. Unlocked at Potential Level 6. Contains the following Augments: C/Sezun Terceranifiv C/Gladia Soul LC C/Halphinale LC C/Gigas Maste LC C/Highret Domina LC C/Grand Dread Keeper LC
Aeoni Dekelion Talis +80 x1 | 10,000 | 1 | Equippable at Level 50. Unlocked at Potential Level 6. Contains the following Augments: C/Sezun Terceranifiv C/Gladia Soul LC C/Halphinale LC C/Gigas Maste LC C/Highret Domina LC C/Grand Dread Keeper LC
Aeoni Dekelion Wand +80 x1 | 10,000 | 1 | Equippable at Level 50. Unlocked at Potential Level 6. Contains the following Augments: C/Sezun Terceranifiv C/Gladia Soul LC C/Halphinale LC C/Gigas Maste LC C/Highret Domina LC C/Grand Dread Keeper LC
Aeoni Dekelion Katana +80 x1 | 10,000 | 1 | Equippable at Level 50. Unlocked at Potential Level 6. Contains the following Augments: C/Sezun Terceranifiv C/Gladia Soul LC C/Halphinale LC C/Gigas Maste LC C/Highret Domina LC C/Grand Dread Keeper LC
Aeoni Dekelion Bow +80 x1 | 10,000 | 1 | Equippable at Level 50. Unlocked at Potential Level 6. Contains the following Augments: C/Sezun Terceranifiv C/Gladia Soul LC C/Halphinale LC C/Gigas Maste LC C/Highret Domina LC C/Grand Dread Keeper LC
Aeoni Dekelion Boots +80 x1 | 10,000 | 1 | Equippable at Level 50. Unlocked at Potential Level 6. Contains the following Augments: C/Sezun Terceranifiv C/Gladia Soul LC C/Halphinale LC C/Gigas Maste LC C/Highret Domina LC C/Grand Dread Keeper LC
Aeoni Dekelion Blades +80 x1 | 10,000 | 1 | Equippable at Level 50. Unlocked at Potential Level 6. Contains the following Augments: C/Sezun Terceranifiv C/Gladia Soul LC C/Halphinale LC C/Gigas Maste LC C/Highret Domina LC C/Grand Dread Keeper LC
Aeoni Dekelion Harmonizer +80 x1 | 10,000 | 1 | Equippable at Level 50. Unlocked at Potential Level 6. Contains the following Augments: C/Sezun Terceranifiv C/Gladia Soul LC C/Halphinale LC C/Gigas Maste LC C/Highret Domina LC C/Grand Dread Keeper LC
Qual De Armor +60 x1 | 8,000 | 3 | Contains the following Augments: C/Aegis Soul IV C/Triplble II C/Alts Secreta IV C/Mastery IV C/Stira Domina
Sestato Armor +60 x1 | 10,000 | 3 | Contains the following Augments: C/Aegis Soul IV C/Triplble II C/Alts Secreta IV C/Mastery IV C/Stira Domina
Ajax Armor +60 x1 | 15,000 | 3 | Contains the following Augments: C/Aegis Soul IV C/Triplble II C/Alts Secreta IV C/Mastery IV C/Stira Domina
Monotite x1 | 50 | 100 | Mineral ore found in rocky places in various regions. Used for unlocking Potentials and Limit Breaking at the Item Lab.
Dualomite x1 | 50 | 100 | Mineral ore found in rocky places in various regions. Used for unlocking Potentials and Limit Breaking at the Item Lab.
Trinite x1 | 50 | 100 | Mineral ore found in rocky places in various regions. Used for unlocking Potentials, Limit Breaking and Exchanged for Affix Capsules at the Item Lab.
Tetracite x1 | 100 | 100 | Mineral ore found in rocky places in various regions. Used for various purposes like unlocking Potentials at the Item Lab.
Pentalite x1 | 500 | 100 | Mineral ore found in rocky places in various regions. Used for various purposes like unlocking Potentials at the Item Lab.
Hexakite x1 | 500 | 100 | Mineral ore found in rocky places in various regions. Used for various purposes like unlocking Potentials at the Item Lab.
Photon Chunk x1 | 300 | 100 | Mineral ore found in rocky places in various regions. Used for unlocking Potentials and Limit Breaking at the Item Lab.
Photon Quartz x1 | 300 | 100 | Mineral ore found in rocky places in various regions. Used for Multi-weaponization and Exchanged for Affixed Capsules at the Item Lab.
Photon Scale x1 | 1,000 2,000 | 50 | Mineral ore found in rocky places in various regions. Used for various purposes like exchanging capsules at the Item Lab..
Blizzardium x1 | 1,500 3,000 | 50 | A rare mineral found in rocky places of Kvaris. Can be exchanged for items in certain places.
Infernium x1 | 2,000 4,000 | 50 | A rare mineral ore found in rocky areas of Stia. Can be exchanged for items in certain places.
Icicle Cube II x1 | 1,000 2,000 | 75 75 | Mysterious energy material that can be obtained from ancient enemies, etc. Can be used for exchanging items with Reso in Kvaris.
Icicle Orb II x1 | 400 800 | 300 300 | Mysterious energy material that can be obtained from Dread Enemies, etc. Can be used for exchanging items with Reso in Kvaris.
Icicle Cube x1 | 200 4400 | 500 500 | Mysterious energy material that can be obtained from ancient enemies, etc. Can be used for exchanging items with Reso in Kvaris.
Aegis Integra x1 | 20,000 | 5 | Core component from the Dark Falz Aegis. Can be traded for items at an Item Trader's "Aegis Integra Exchange."
Growthment II x1 | 1,000 1,500 2,000 | 200 200 200 | A piece of complex material found in Leciel and other places. Can be exchanged for items at an Item Trader with the Growthment II Exchange.
Growthment x1 | 1,000 | 600 | A piece of complex material found in Luciel. Can be exchanged for items at an Item Trader with the Growthment Exchange.
Dread Scale x1 | 2,000 | 300 | Part of a Dread Enemy's tough exodermis. Can be exchanged for items at an Item Trader with the Dread Scale Exchange.
N-EX-Cube x1 | 1,000 | 40 | A crystal granted to those who seek power. Used for various purposes like unlocking Potentials at the Item Lab.
Master Fragment x1 | 10,000 10,000 10,000 | 5 5 5 | A Master Cube fragment. Refine it to process an N-Master Cube.
N-Master-Cube x1 | 100,000 | 1 | A precious crystal given to all advanced class seekers. Used to acquire powerful Add-on Skills at the Class Counter.
Photon Chunk IIA x1 | 1,500 | 60 | A rare mineral that cannot be found in the usual rocky places. Use it to unlock even higher Potentials in the Item Lab.
Photon Chunk IIB x1 | 1,500 | 60 | A rare mineral that cannot be found in the usual rocky places. Use it to unlock even higher Potentials in the Item Lab.
Arms Refiner x1 | 2,000 | 20 | Material refined from Strugment. Use for Limit Breaking in the Item Lab.
Arms Refiner II x1 | 5,000 | 10 | Material found in places such as Combat Sectors. Used for more high precision Limit Breaking at the Item Lab.
TA Customization Disc A/Melee x1 | 1,000 | 75 | Used for Melee Weapon Tech Arts Customization at the Class Counter.
TA Customization Disc A/Ranged x1 | 1,000 | 75 | Used for Ranged Weapon Tech Arts Customization at the Class Counter.
TA Customization Disc A/Technique x1 | 1,000 | 75 | Used for Technique Weapon Tech Arts Customization at the Class Counter.
TA Customization Disc B/Melee x1 | 5,000 | 12 | Used for advanced Melee Weapon Tech Arts Customization at the Class Counter.
TA Customization Disc B/Ranged x1 | 5,000 | 12 | Used for advanced Ranged Weapon Tech Arts Customization at the Class Counter.
TA Customization Disc B/Technique x1 | 5,000 | 12 | Used for advanced Technique Weapon Tech Arts Customization at the Class Counter.
TA Customization Disc X/Omni x1 | 50,000 | 3 | Used for even more advanced Weapon Tech Arts Customization for all weapons at the Class Counter.
C/Defi Ceires P.01 x1 | 3,000 | 40 | A capsule that adds the "Defi Ceires P.01" Augment to weapons and armor.
C/Defi Haumeas P.01 x1 | 3,000 | 40 | A capsule that adds the "Defi Haumeas P.01" Augment to weapons and armor.
C/Defi Eriss P.01 x1 | 3,000 | 40 | A capsule that adds the "Defi Eriss P.01" Augment to weapons and armor.
C/Defi Plutos P.01 x1 | 3,000 | 40 | A capsule that adds the "Defi Plutos P.01" Augment to weapons and armor.
C/Defi Makemes P.01 x1 | 3,000 | 40 | A capsule that adds the "Defi Makemes P.01" Augment to weapons and armor..
C/Defi Ceires P.02 x1 | 3,000 | 40 | A capsule that adds the "Defi Ceires P.02" Augment to weapons and armor.
C/Defi Haumeas P.02 x1 | 3,000 | 40 | A capsule that adds the "Defi Haumeas P.02" Augment to weapons and armor.
C/Defi Eriss P.02 x1 | 3,000 | 40 | A capsule that adds the "Defi Eriss P.02" Augment to weapons and armor.
C/Defi Sednas P.02 x1 | 3,000 | 40 | A capsule that adds the "Defi Sednas P.02" Augment to weapons and armor.
C/Defi Plutos P.02 x1 | 3,000 | 40 | A capsule that adds the "Defi Plutos P.02" Augment to weapons and armor.
C/Defi Makemes P.02 x1 | 3,000 | 40 | A capsule that adds the "Defi Makemes P.02" Augment to weapons and armor..
C/Defi Ceires P.03 x1 | 3,000 | 40 | A capsule that adds the "Defi Ceires P.03" Augment to weapons and armor.
C/Defi Haumeas P.03 x1 | 3,000 | 40 | A capsule that adds the "Defi Haumeas P.03" Augment to weapons and armor.
C/Defi Eriss P.03 x1 | 3,000 | 40 | A capsule that adds the "Defi Eriss P.03" Augment to weapons and armor.
C/Defi Sednas P.03 x1 | 3,000 | 40 | A capsule that adds the "Defi Sednas P.03" Augment to weapons and armor.
C/Defi Plutos P.03 x1 | 3,000 | 40 | A capsule that adds the "Defi Plutos P.03" Augment to weapons and armor.
C/Defi Makemes P.03 x1 | 3,000 | 40 | A capsule that adds the "Defi Makemes P.03" Augment to weapons and armor.
C/Defi Ceires P.04 x1 | 3,000 | 40 | A capsule that adds the "Defi Ceires P.04" Augment to weapons and armor.
C/Defi Haumeas P.04 x1 | 3,000 | 40 | A capsule that adds the "Defi Haumeas P.04" Augment to weapons and armor.
C/Defi Eriss P.04 x1 | 3,000 | 40 | A capsule that adds the "Defi Eriss P.04" Augment to weapons and armor.
C/Defi Sednas P.04 x1 | 3,000 | 40 | A capsule that adds the "Defi Sednas P.04" Augment to weapons and armor.
C/Defi Plutos P.04 x1 | 3,000 | 40 | A capsule that adds the "Defi Plutos P.04" Augment to weapons and armor.
C/Defi Makemes P.04 x1 | 3,000 | 40 | A capsule that adds the "Defi Makemes P.04" Augment to weapons and armor.
C/Highret Domina LC x1 | 10,000 30,000 30,000 | 20 20 20 | A capsule that adds the "Highret Domina LC" Augment to weapons and armor.
C/Grand Dread Keeper LC x1 | 10,000 30,000 30,000 | 20 20 20 | A capsule that adds the "Grand Dread Keeper LC" Augment to weapons and armor.
C/Gladia Soul LC x1 | 10,000 30,000 30,000 | 20 20 20 | A capsule that adds the "Gladia Soul LC" Augment to weapons and armor.
C/Highael Domina LC x1 | 10,000 30,000 30,000 | 20 20 20 | A capsule that adds the "Highael Domina LC" Augment to weapons and armor.
C/Mastery LC x1 | 10,000 30,000 30,000 | 20 20 20 | A capsule that adds the "Mastery LC" Augment to weapons and armor.
C/Gigas Maste LC x1 | 10,000 30,000 30,000 | 20 20 20 | A capsule that adds the "Gigas Maste LC" Augment to weapons and armor.
C/Halphinale LC x1 | 10,000 30,000 30,000 | 20 20 20 | A capsule that adds the "Halphinale LC" Augment to weapons and armor.
C/Spiro Triyal x1 | 10,000 30,000 30,000 | 20 20 20 | A capsule that adds the "Spiro Triyal" Augment to weapons and armor.
C/Wardro Triyal x1 | 10,000 30,000 30,000 | 20 20 20 | A capsule that adds the "Wardro Triyal" Augment to weapons and armor.
C/Guaro Triyal x1 | 10,000 30,000 30,000 | 20 20 20 | A capsule that adds the "Guaro Triyal" Augment to weapons and armor.
C/Mastery IV x1 | 10,000 10,000 | 10 10 | A capsule that adds the "Mastery IV" Augment to weapons and armor.
C/Gigas Might IV x1 | 5,000 25,000 25,000 | 10 10 10 | A capsule that adds the "Gigas Might IV" Augment to weapons and armor.
C/Gigas Precision IV x1 | 5,000 25,000 25,000 | 10 10 10 | A capsule that adds the "Gigas Precision IV" Augment to weapons and armor.
C/Gigas Technique IV x1 | 5,000 25,000 25,000 | 10 10 10 | A capsule that adds the "Gigas Technique IV" Augment to weapons and armor.
C/Dread Keeper IV x1 | 2,000 10,000 10,000 | 10 10 10 | A capsule that adds the "Dread Keeper IV" Augment to weapons and armor.
C/Dread Keeper V x1 | 5,000 25,000 25,000 | 10 10 10 | A capsule that adds the "Dread Keeper V" Augment to weapons and armor.
Gold Primm Sword II +60 x1 | 10,000 | 40 | Contains the following Augments: C/Endymio
C/Endymio x1 | 5,000 | 100 | A capsule that adds the "Endymio" Augment to weapons and armor. Can be use as Item Enhancement Material.
Alpha Reactor x1 | 300 900 | 200 250 | A power reactor of some sort of machine. Can be sold at a high price. Can be converted to 3,500.
N-Augmentation Success Rate +10% x1 | 2,500 | 4 | Boosts augmentation success rate when affixing an augment.
N-Grinder x1 | 500 | - | A material used for enhancing weapons and armor. Can draw out capabilities beyond the item's limits.
