# Seasonal Points Exchange Shop and Point Exchange Rewards (Part 1)

== Overview ==
The Seasonal Points Exchange Shop is an event-limited Exchange Shop that is only available during Seasonal Events.
Previous iterations of the of the Seasonal Points Exchange Shop can be viewed on this page , or can be individually viewed on each event's Event Page .

== Seasonal Points ==
Seasonal Points ( ) are obtained by completing Xiandy's Tasks and Event Limited Tasks which will reward the player with Seasonal Points. Enemies with the Season Mark will also drop Seasonal Points upon death.

=== Point Table ===

=== Aelio Region ===
Seasonal Points Earned | Category | Notes
42 | Small Enemies | Drops from the following enemies: Gazzas Axe, Gazzas Gun, Gazzas Launcher, Lava Metius, Lava Roron, Lava Rorox, Vanizz
62 | Small and Medium Enemies | Drops from the following enemies: Gazzas Gunblade, Stratis, Volg Bear, Emperappy, Great Rappy
125 | Medium Enemies | Drops from the following enemies: Blaze Nogleth, Blazentos, Dark Lemnas, Dark Magilz, Dusk Snapper, Dusk Snapper, Duskdi Scythe, Engouku, Volt Lemnas
250 | Large Enemies | Drops from the following enemies: Doldoris, Flamedyl Sword, Nils Stia
1,000 | Urgent Quest (Enemies) | Drops from the following enemies: Doldoris Vera, Nils Vera

=== Point Multiplier ===
Seasonal Points acquired from Special enemy variants will be affected by an additional point multiplier.
Multiplier | Enemy Variant | Enemy Type
x1.1 | Silver | Rare Enemy
x1.1 | Elite | Megalotix Enemy
x1.2 | Golden | Rare Enemy
x1.5 | Veteran | Dread Enemy
x2.0 | Veteran (Golden) | Dread Enemy
x2.0 | Malevolent | Gigantix Enemy
