# NPC Ronaldine — Profile, Role and Services (Part 3)

== Ronaldine's Tasks (Limited-Time) ==
=== February 22nd, 2022 to April 12th, 2022 ===
Ronaldine's Tasks (February 22nd, 2022 to April 12th, 2022)
Task Name | Objectives | Rewards | Description
Aelio Relentless Training 3-III | Defeat Pettas Launchers (Lv.35 or Greater) (0/100) Defeat Lizard Ices (Lv.35 or Greater) (0/100) Defeat Evil Angelos (Lv.35 or Greater) (0/100) | N-Enhancement Success Rate +100% x1 | Advanced ARKS Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [126] ] Recommended Sector: Vanford Laboratory Ruins (Rank 3 or higher)
Aelio Relentless Training 3-IV | Defeat rare enemies (Lv.35 or Greater) (0/200) Defeat Enhanced Enemies (Lv.35 or Greater) (0/100) Defeat Megalotix (0/100) | N-Rare Drop Rate +25% x1 | Advanced ARKS Training Instructor Ronaldine has tasked you with suppressing enemies in order to gain some experience.
Aelio Relentless Training 3-V | Defeat Nogleths (Lv.35 or Greater) (0/20) Defeat Ard Bansers (Lv.35 or Greater) (0/20) Defeat Chiacurios (Lv.35 or Greater) (0/20) | N-Augmentation Success Rate +20% x1 | Advanced ARKS Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [127] ] Recommended Sector: Mt. Magnus (Rank 3 or higher)
Aelio Relentless Training 3-VI | Defeat Daityl Swords (Lv.35 or Greater) (0/20) Defeat Oruqs (Lv.35 or Greater) (0/20) Defeat Crag Bears (Lv.35 or Greater) (0/20) | Special Scratch Ticket x10 | Advanced ARKS Training Instructor Ronaldine has tasked you with suppressing boss enemies in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [128] ] Recommended Sector: Vanford Laboratory Ruins (Rank 3 or higher)
Aelio Relentless Training 3-VII | Defeat Malevolent Nogleths (Lv.44 or Greater) (0/3) Defeat Malevolent Varas (Lv.44 or Greater) (0/3) | B-Trigger/Ael Purple x10 | Advanced ARKS Training Instructor Ronaldine has tasked you with suppressing Gigantix in order to gain some experience.
Aelio Relentless Training 3-VIII | Defeat a Gigantix at North Aelio (0/1) Defeat a Gigantix at South Aelio (0/1) | SG 100 Ticket x1 | Advanced ARKS Training Instructor Ronaldine has tasked you with suppressing Gigantix in order to gain some experience.

=== December 14th, 2021 to February 22nd, 2022 ===
Ronaldine's Tasks (December 14th, 2021 to February 22nd, 2022)
Task Name | Objectives | Rewards | Description
Relentless Training 1-I | Defeat enemies in Retem Alnothe (0/500) Defeat enemies in Maqead Lower Level (0/500) | N-EX-Cube x2 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing enemies of any kind in order to gain some experience.
Relentless Training 1-II | Defeat Deser Swords (0/30) Defeat Sand Rorons (0/30) Defeat Sand Dotts (0/30) | C/Nex Soul II x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing DOLLS in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [129] ] Recommended Sector: Maqead Lower Level
Relentless Training 1-III | Defeat Svarucs (0/50) Defeat Kerogeros (0/50) Defeat Sval Angelos (0/50) | C/Pettas Soul II x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing ALTERS in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [130] ] Recommended Sector: Retem Alnothe
Relentless Training 1-IV | Defeat Deser Guns (0/30) Defeat Deser Launchers (0/30) Defeat Metius (0/30) | C/Daityl Soul II x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing DOLLS in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [131] ] Recommended Sector: Maqead Lower Level
Relentless Training 1-V | Defeat Dune Bears (0/5) Defeat Bubble Snappers (0/5) Defeat Svadi Scythes (0/5) | Silver Primm Armor +20 x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating bosses in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [132] ] Recommended Sector: Retem Alnothe
Relentless Training 1-VI | Defeat Sand Nogleths (0/5) Defeat Kelkundos (0/5) Defeat Renus Retems (0/5) | SG 50 Ticket x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating bosses in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [133] ] Recommended Sector: Maqead Lower Level
Relentless Training 2-I | Defeat enemies in Retem Alnothe (0/750) Defeat enemies in Maqead Lower Level (0/750) | Photon Scale x15 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing enemies of any kind in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [134] ] Target Sector: Rank 2 or higher
Relentless Training 2-II | Defeat Sand Tinoses (Level 30 or Greater) (0/100) Defeat Sand Roroxes (Level 30 or Greater) (0/50) Defeat Sand Dotts (Level 30 or Greater) (0/50) | Monotite x40 Dualomite x40 Trinite x40 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing DOLLS in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [135] ] Recommended Sector: Maqead Lower Level (Rank 2 or Greater)
Relentless Training 2-III | Defeat Glasnegs (Level 30 or Greater) (0/50) Defeat Roufinbears (Level 30 or Greater) (0/50) Defeat Crowpas (Level 30 or Greater) (0/50) | Photon Chunk x40 Photon Quartz x40 Tetracite x40 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing ALTERS in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [136] ] Recommended Sector: Retem Alnothe (Rank 2 or Greater)
Relentless Training 2-IV | Defeat Deser Guns (Level 30 or Greater) (0/50) Defeat Sand Rorons (Level 30 or Greater) (0/50) Defeat Brancles (Level 30 or Greater) (0/50) | C/Ael Domina x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing DOLLS in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [137] ] Recommended Sector: Maqead Lower Level (Rank 2 or Greater)
Relentless Training 2-V | Defeat Fortos Launchers (Level 30 or Greater) (0/10) Defeat Svacurios (Level 30 or Greater) (0/10) Defeat Svaulons (Level 30 or Greater) (0/10) | N-EX-Cube x3 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating bosses in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [138] ] Recommended Sector: Retem Alnothe (Rank 2 or Greater)
Relentless Training 2-VI | Defeat Sand Nogleths (Level 30 or Greater) (0/10) Defeat Fortos Lasers (Level 30 or Greater) (0/10) Defeat Renus Retems (Level 30 or Greater) (0/10) | Silver Primm Sword +20 x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating bosses in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [139] ] Recommended Sector: Maqead Lower Level (Rank 2 or Greater)
Relentless Training 2-VII | Defeat a Veteran Kelkundo (0/1) Defeat a Veteran Lizentos (0/1) Defeat a Veteran Dustyl Hammer (0/1) | SG 50 Ticket x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating dread enemies in order to gain some experience.
Relentless Training 3-I | Defeat enemies in Retem Alnothe (0/1,000) Defeat enemies in Maqead Lower Level (0/1,000) | C/Ret Note A x5 C/Ret Note B x5 C/Ret Note C x5 C/Ret Note D x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing enemies of any kind in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [140] ] Target Sector: Rank 2 or higher
Relentless Training 3-II | Defeat Sand Rorons (Level 30 or Greater) (0/100) Defeat Sand Roroxes (Level 30 or Greater) (0/100) | B-Trigger/Ret Yellow x5 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing DOLLS in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [141] ] Recommended Sector: Maqead Lower Level (Rank 2 or Greater)
Relentless Training 3-III | Defeat Mumidogs (Level 30 or Greater) (0/200) Defeat Kerogeros (Level 30 or Greater) (0/200) Defeat Glasnegs (Level 30 or Greater) (0/100) Defeat Roufinbears (Level 30 or Greater) (0/100) | N-Enhancement Success Rate +100% x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing ALTERS in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [142] ] Recommended Sector: Retem Alnothe (Rank 2 or Greater)
Relentless Training 3-IV | Defeat Sand Dotts (Level 30 or Greater) (0/100) Defeat Brancles (Level 30 or Greater) (0/100) Defeat Metius (Level 30 or Greater) (0/100) | N-Rare Drop Rate +20% x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with suppressing DOLLS in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [143] ] Recommended Sector: Maqead Lower Level (Rank 2 or Greater)
Relentless Training 3-V | Defeat Sand Nogleths (Level 30 or Greater) (0/20) Defeat Fortos Launchers (Level 30 or Greater) (0/20) Defeat Bubble Snappers (Level 30 or Greater) (0/20) | N-Augmentation Success Rate +20% x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating bosses in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [144] ] Recommended Sector: Retem Alnothe (Rank 2 or Greater)
Relentless Training 3-VI | Defeat Fortos Lasers (Level 30 or Greater) (0/20) Defeat Dustyl Hammers (Level 30 or Greater) (0/20) Defeat Renus Retems (Level 30 or Greater) (0/20) | Special Scratch Ticket x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating bosses in order to gain some experience. This icon hasn't been defined. It can be defined here: [ [145] ] Recommended Sector: Maqead Lower Level (Rank 2 or Greater)
Relentless Training 3-VII | Defeat Veteran Svadi Scythes (Level 30 or Greater) (0/3) Defeat Veteran Svaulons (Level 30 or Greater) (0/3) Defeat Veteran Sand Nogleths (Level 30 or Greater) (0/3) | B-Trigger/Ret Purple x10 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating dread enemies in order to gain some experience.
Relentless Training 3-VIII | Defeat Malevolent Kelkundos (0/3) Defeat Malevolent Lizentos (0/3) Defeat Malevolent Fortos Launcher (0/3) Defeat Malevolent Dustyl Hammer (0/3) | SG 100 Ticket x1 | ARKS Advanced Training Instructor Ronaldine has tasked you with defeating Gigantix in order to gain some experience.
