# Special Enemies — Variants and Unique Modifiers (Part 2)

Sections in this file: Rappy Enemies

== Rappy Enemies ==
Enemy | Area | Drop List | Breakpoints | Weakness | Notes
Rappy | All Exploration and Combat Sectors | N-Grinder Rappy Themed Build Parts | Weak to: | A harmless mascot-like bird that's far too adorable for its own good. Often drops rare items upon defeat. If it finds others of its kind, they'll sing along to Rappy Fever together. Wave to the Rappies and they'll wave back!
Great Rappy | All Exploration Sectors | N-Grinder Strugment A - C Alpha Reactor B-Trigger/Common Yellow Q-Trigger/DF Interception Q-Trigger/DF Interception R.2 Special Scratch Ticket N-Rappy Suit Mini [Fu] Rappy Themed Build Parts | Weak to: | An even bigger version of the Emperappy. They are found alongside other Rappies when players discover Rappy Spots, and are more rare to find than Emperappies.
Ceremo Emperappy | All Exploration Sectors | N-Grinder Daytime Exploit I Strugment A - C Alpha Reactor B-Trigger/Common Yellow Q-Trigger/DF Interception Q-Trigger/DF Interception R.2 Special Scratch Ticket N-Rappy Suit Mini [Fu] | Weak to: | A giant, more fluffy, and prestigious version of the Rappy. They are found alongside other Rappies when players discover Rappy Spots. Only spawns during the PSO2 10th Anniversary Event .
Ceremo Great Rappy | All Exploration Sectors | N-Grinder Daytime Exploit I Strugment A - C Alpha Reactor B-Trigger/Common Yellow Q-Trigger/DF Interception Q-Trigger/DF Interception R.2 Special Scratch Ticket N-Rappy Suit Mini [Fu] | Weak to: | An even bigger version of the Ceremo Emperappy. They are found alongside other Rappies when players discover Rappy Spots, and are more rare to find than Emperappies. Only spawns during the PSO2 10th Anniversary Event .
Moongaze Emperappy | All Exploration Sectors | N-Grinder Nighttime Exploit I Strugment A - C Alpha Reactor B-Trigger/Common Yellow Q-Trigger/DF Interception Q-Trigger/DF Interception R.2 Special Scratch Ticket N-Rappy Suit Mini [Fu] | Weak to: | A giant, more fluffy, and prestigious version of the Rappy. They are found alongside other Rappies when players discover Rappy Spots. Only spawns during the Moon-Gazing Event .
Moongaze Great Rappy | All Exploration Sectors | N-Grinder Nighttime Exploit I Strugment A - C Alpha Reactor B-Trigger/Common Yellow Q-Trigger/DF Interception Q-Trigger/DF Interception R.2 Special Scratch Ticket N-Rappy Suit Mini [Fu] | Weak to: | An even bigger version of the Moongaze Emperappy. They are found alongside other Rappies when players discover Rappy Spots, and are more rare to find than Emperappies. Only spawns during the Moon-Gazing Event .
Yaolo Emperappy | All Exploration Sectors | N-Grinder Strugment A - C Alpha Reactor B-Trigger/Common Yellow Q-Trigger/DF Interception Q-Trigger/DF Interception R.2 Special Scratch Ticket N-Rappy Suit Mini [Fu] | Weak to: | A giant, more fluffy, and prestigious version of the Rappy. They are found alongside other Rappies when players discover Rappy Spots. Only spawns during the Autumn Event .
Yaolo Great Rappy | All Exploration Sectors | N-Grinder Strugment A - C Alpha Reactor B-Trigger/Common Yellow Q-Trigger/DF Interception Q-Trigger/DF Interception R.2 Special Scratch Ticket N-Rappy Suit Mini [Fu] | Weak to: | An even bigger version of the Yaolo Emperappy. They are found alongside other Rappies when players discover Rappy Spots, and are more rare to find than Emperappies. Only spawns during the Autumn Event .
Saint Emperappy | All Exploration Sectors | N-Grinder Strugment A - C Alpha Reactor B-Trigger/Common Yellow Q-Trigger/DF Interception Q-Trigger/DF Interception R.2 Special Scratch Ticket N-Rappy Suit Mini [Fu] | Weak to: | A giant, more fluffy, and prestigious version of the Rappy. They are found alongside other Rappies when players discover Rappy Spots. Only spawns during the Christmas '22 Event and Christmas '23 Event
Saint Great Rappy | All Exploration Sectors | N-Grinder Strugment A - C Alpha Reactor B-Trigger/Common Yellow Q-Trigger/DF Interception Q-Trigger/DF Interception R.2 Special Scratch Ticket N-Rappy Suit Mini [Fu] | Weak to: | An even bigger version of the Saint Emperappy. They are found alongside other Rappies when players discover Rappy Spots, and are more rare to find than Emperappies. Only spawns during the Christmas '22 Event and Christmas '23 Event
Hululu Emperappy | All Exploration Sectors | N-Grinder Strugment A - C Alpha Reactor B-Trigger/Common Yellow Q-Trigger/DF Interception Q-Trigger/DF Interception R.2 Special Scratch Ticket N-Rappy Suit Mini [Fu] | Weak to: | A giant, more fluffy, and prestigious version of the Rappy. They are found alongside other Rappies when players discover Rappy Spots. Only spawns during the Spring Event .
Hululu Great Rappy | All Exploration Sectors | N-Grinder Strugment A - C Alpha Reactor B-Trigger/Common Yellow Q-Trigger/DF Interception Q-Trigger/DF Interception R.2 Special Scratch Ticket N-Rappy Suit Mini [Fu] | Weak to: | An even bigger version of the Hululu Emperappy. They are found alongside other Rappies when players discover Rappy Spots, and are more rare to find than Emperappies. Only spawns during the Spring Event .
Trickertreat Emperappy | All Exploration Sectors | N-Grinder Strugment A - C Alpha Reactor B-Trigger/Common Yellow Q-Trigger/DF Interception Q-Trigger/DF Interception R.2 Special Scratch Ticket N-Rappy Suit Mini [Fu] | Weak to: | A giant, more fluffy, and prestigious version of the Rappy. They are found alongside other Rappies when players discover Rappy Spots. Only spawns during the Halloween Event .
Trickertreat Great Rappy | All Exploration Sectors | N-Grinder Strugment A - C Alpha Reactor B-Trigger/Common Yellow Q-Trigger/DF Interception Q-Trigger/DF Interception R.2 Special Scratch Ticket N-Rappy Suit Mini [Fu] | Weak to: | An even bigger version of the Trickertreat Emperappy. They are found alongside other Rappies when players discover Rappy Spots, and are more rare to find than Emperappies. Only spawns during the Halloween Event .
Snome Emperappy | All Exploration Sectors | N-Grinder Strugment A - C Alpha Reactor B-Trigger/Common Yellow Q-Trigger/DF Interception Q-Trigger/DF Interception R.2 Special Scratch Ticket N-Rappy Suit Mini [Fu] | Weak to: | A giant, more fluffy, and prestigious version of the Rappy. They are found alongside other Rappies when players discover Rappy Spots. Only spawns during the New Year 24 Event and the Winter '24 Event .
Snome Great Rappy | All Exploration Sectors | N-Grinder Strugment A - C Alpha Reactor B-Trigger/Common Yellow Q-Trigger/DF Interception Q-Trigger/DF Interception R.2 Special Scratch Ticket N-Rappy Suit Mini [Fu] | Weak to: | An even bigger version of the Snome Emperappy. They are found alongside other Rappies when players discover Rappy Spots, and are more rare to find than Emperappies. Only spawns during the New Year 24 Event and the Winter '24 Event .
Anni Emperappy | All Exploration Sectors | N-Grinder Strugment A - C Alpha Reactor B-Trigger/Common Yellow Q-Trigger/DF Interception Q-Trigger/DF Interception R.2 Special Scratch Ticket N-Rappy Suit Mini [Fu] | Weak to: | A giant, more fluffy, and prestigious version of the Rappy. They are found alongside other Rappies when players discover Rappy Spots. Only spawns during the NGS 3rd Anniversary Event .
Anni Great Rappy | All Exploration Sectors | N-Grinder Strugment A - C Alpha Reactor B-Trigger/Common Yellow Q-Trigger/DF Interception Q-Trigger/DF Interception R.2 Special Scratch Ticket N-Rappy Suit Mini [Fu] | Weak to: | An even bigger version of the Anni Emperappy. They are found alongside other Rappies when players discover Rappy Spots, and are more rare to find than Emperappies. Only spawns during the NGS 3rd Anniversary Event .
