# Player Status — Stats, ATK, DEF and Attribute Breakdown (Part 2)

== Stats by Class ==
Hunter
Lv | HP | Attack | Defense | BP
100 | 701 | 1998 | 1013 | 2504.5
101 | 706 | 2004 | 1016 | 2512
102 | 711 | 2010 | 1019 | 2519.5
103 | 716 | 2016 | 1022 | 2527
104 | 721 | 2022 | 1025 | 2534.5
105 | 726 | 2028 | 1028 | 2542
106 | 731 | 2034 | 1031 | 2549.5
107 | 736 | 2040 | 1034 | 2557
108 | 741 | 2046 | 1037 | 2564.5
109 | 746 | 2052 | 1040 | 2572
110 | 751 | 2058 | 1043 | 2579.5
111 | 756 | 2064 | 1046 | 2587
112 | 761 | 2070 | 1049 | 2594.5
113 | 766 | 2076 | 1052 | 2602
114 | 771 | 2082 | 1055 | 2609.5
115 | 776 | 2088 | 1058 | 2617
Lv | HP | Attack | Defense | BP
Ranger
Lv | HP | Attack | Defense | BP
1 | 240 | 448 | 300 | 598
2 | 242 | 457 | 305 | 609.5
3 | 245 | 465 | 309 | 619.5
4 | 247 | 474 | 314 | 631
5 | 250 | 484 | 319 | 643.5
6 | 252 | 493 | 324 | 655
7 | 254 | 503 | 329 | 667.5
8 | 257 | 512 | 334 | 679
9 | 259 | 522 | 339 | 691.5
10 | 262 | 532 | 345 | 704.5
11 | 265 | 543 | 350 | 718
12 | 267 | 553 | 355 | 730.5
13 | 270 | 564 | 361 | 744.5
14 | 272 | 575 | 366 | 758
15 | 275 | 586 | 372 | 772
16 | 278 | 597 | 378 | 786
17 | 281 | 608 | 384 | 800
18 | 283 | 620 | 390 | 815
19 | 286 | 632 | 396 | 830
20 | 289 | 644 | 402 | 845
21 | 292 | 657 | 408 | 861
22 | 295 | 670 | 414 | 877
23 | 297 | 682 | 421 | 892.5
24 | 300 | 696 | 427 | 909.5
25 | 303 | 709 | 434 | 926
26 | 306 | 723 | 441 | 943.5
27 | 309 | 737 | 448 | 961
28 | 312 | 751 | 455 | 978.5
29 | 315 | 765 | 462 | 996
30 | 318 | 780 | 469 | 1014.5
31 | 322 | 795 | 476 | 1033
32 | 325 | 811 | 483 | 1052.5
33 | 328 | 826 | 491 | 1071.5
34 | 331 | 842 | 499 | 1091.5
35 | 334 | 858 | 506 | 1111
36 | 338 | 875 | 514 | 1132
37 | 341 | 892 | 522 | 1153
38 | 344 | 909 | 530 | 1174
39 | 348 | 927 | 538 | 1196
40 | 351 | 944 | 547 | 1217.5
41 | 355 | 963 | 555 | 1240.5
42 | 358 | 981 | 564 | 1263
43 | 362 | 1000 | 573 | 1286.5
44 | 365 | 1019 | 582 | 1310
45 | 369 | 1039 | 591 | 1334.5
46 | 372 | 1059 | 600 | 1359
47 | 376 | 1079 | 609 | 1383.5
48 | 380 | 1100 | 618 | 1409
49 | 383 | 1122 | 628 | 1436
50 | 387 | 1143 | 638 | 1462
51 | 391 | 1165 | 648 | 1489
52 | 395 | 1188 | 658 | 1517
53 | 399 | 1211 | 668 | 1545
54 | 403 | 1234 | 678 | 1573
55 | 406 | 1258 | 689 | 1602.5
56 | 410 | 1282 | 699 | 1631.5
57 | 415 | 1307 | 710 | 1662
58 | 419 | 1332 | 721 | 1692.5
59 | 423 | 1357 | 733 | 1723.5
60 | 427 | 1384 | 744 | 1756
61 | 431 | 1410 | 755 | 1787.5
62 | 435 | 1437 | 767 | 1820.5
63 | 439 | 1465 | 779 | 1854.5
64 | 444 | 1493 | 791 | 1888.5
65 | 448 | 1522 | 803 | 1923.5
66 | 453 | 1552 | 816 | 1960
67 | 457 | 1581 | 829 | 1995.5
68 | 461 | 1612 | 841 | 2032.5
69 | 466 | 1643 | 854 | 2070
70 | 471 | 1675 | 868 | 2109
71 | 475 | 1707 | 881 | 2147.5
72 | 480 | 1740 | 895 | 2187.5
73 | 485 | 1773 | 909 | 2227.5
74 | 489 | 1807 | 923 | 2268.5
75 | 494 | 1842 | 937 | 2310.5
76 | 498 | 1848 | 940 | 2318
77 | 502 | 1854 | 943 | 2325.5
78 | 506 | 1860 | 946 | 2333
79 | 510 | 1866 | 949 | 2340.5
80 | 514 | 1872 | 952 | 2348
81 | 518 | 1878 | 955 | 2355.5
82 | 522 | 1884 | 958 | 2363
83 | 526 | 1890 | 961 | 2370.5
84 | 530 | 1896 | 964 | 2378
85 | 534 | 1902 | 967 | 2385.5
86 | 538 | 1908 | 970 | 2393
87 | 542 | 1914 | 973 | 2400.5
88 | 546 | 1920 | 976 | 2408
89 | 550 | 1926 | 979 | 2415.5
90 | 554 | 1932 | 982 | 2423
91 | 558 | 1938 | 985 | 2430.5
92 | 562 | 1944 | 988 | 2438
93 | 566 | 1950 | 991 | 2445.5
94 | 570 | 1956 | 994 | 2453
95 | 574 | 1962 | 997 | 2460.5
96 | 578 | 1968 | 1000 | 2468
97 | 582 | 1974 | 1003 | 2475.5
98 | 586 | 1980 | 1006 | 2483
99 | 590 | 1986 | 1009 | 2490.5
100 | 594 | 1992 | 1012 | 2498
101 | 598 | 1998 | 1015 | 2505.5
102 | 602 | 2004 | 1018 | 2513
103 | 606 | 2010 | 1021 | 2520.5
104 | 610 | 2016 | 1024 | 2528
105 | 614 | 2022 | 1027 | 2535.5
106 | 618 | 2028 | 1030 | 2543
107 | 622 | 2034 | 1033 | 2550.5
108 | 626 | 2040 | 1036 | 2558
109 | 630 | 2046 | 1039 | 2565.5
110 | 634 | 2052 | 1042 | 2573
111 | 638 | 2058 | 1045 | 2580.5
112 | 642 | 2064 | 1048 | 2588
113 | 646 | 2070 | 1051 | 2595.5
114 | 650 | 2076 | 1054 | 2603
115 | 654 | 2082 | 1057 | 2610.5
Lv | Battle Power | HP | Attack | Defense
Gunner
Lv | HP | Attack | Defense | BP
1 | 250 | 451 | 297 | 599.5
2 | 252 | 460 | 302 | 611
3 | 255 | 468 | 306 | 621
4 | 257 | 477 | 311 | 632.5
5 | 260 | 487 | 316 | 645
6 | 263 | 496 | 321 | 656.5
7 | 265 | 506 | 326 | 669
8 | 268 | 515 | 331 | 680.5
9 | 270 | 525 | 336 | 693
10 | 273 | 535 | 342 | 706
11 | 276 | 546 | 347 | 719.5
12 | 278 | 556 | 352 | 732
13 | 281 | 567 | 358 | 746
14 | 284 | 578 | 363 | 759.5
15 | 287 | 589 | 369 | 773.5
16 | 289 | 600 | 375 | 787.5
17 | 292 | 611 | 381 | 801.5
18 | 295 | 623 | 387 | 816.5
19 | 298 | 635 | 393 | 831.5
20 | 301 | 647 | 399 | 846.5
21 | 304 | 660 | 405 | 862.5
22 | 307 | 673 | 411 | 878.5
23 | 310 | 685 | 418 | 894
24 | 313 | 699 | 424 | 911
25 | 316 | 712 | 431 | 927.5
26 | 319 | 726 | 438 | 945
27 | 322 | 740 | 445 | 962.5
28 | 325 | 754 | 452 | 980
29 | 329 | 768 | 459 | 997.5
30 | 332 | 783 | 466 | 1016
31 | 335 | 798 | 473 | 1034.5
32 | 338 | 814 | 480 | 1054
33 | 342 | 829 | 488 | 1073
34 | 345 | 845 | 496 | 1093
35 | 348 | 861 | 503 | 1112.5
36 | 352 | 878 | 511 | 1133.5
37 | 355 | 895 | 519 | 1154.5
38 | 359 | 912 | 527 | 1175.5
39 | 362 | 930 | 535 | 1197.5
40 | 366 | 947 | 544 | 1219
41 | 369 | 966 | 552 | 1242
42 | 373 | 984 | 561 | 1264.5
43 | 377 | 1003 | 570 | 1288
44 | 380 | 1022 | 579 | 1311.5
45 | 384 | 1042 | 588 | 1336
46 | 388 | 1062 | 597 | 1360.5
47 | 392 | 1082 | 606 | 1385
48 | 395 | 1103 | 615 | 1410.5
49 | 399 | 1125 | 625 | 1437.5
50 | 403 | 1146 | 635 | 1463.5
51 | 407 | 1168 | 645 | 1490.5
52 | 411 | 1191 | 655 | 1518.5
53 | 415 | 1214 | 665 | 1546.5
54 | 419 | 1237 | 675 | 1574.5
55 | 423 | 1261 | 686 | 1604
56 | 428 | 1285 | 696 | 1633
57 | 432 | 1310 | 707 | 1663.5
58 | 436 | 1335 | 718 | 1694
59 | 440 | 1360 | 730 | 1725
60 | 445 | 1387 | 741 | 1757.5
61 | 449 | 1413 | 752 | 1789
62 | 453 | 1440 | 764 | 1822
63 | 458 | 1468 | 776 | 1856
64 | 462 | 1496 | 788 | 1890
65 | 467 | 1525 | 800 | 1925
66 | 471 | 1555 | 813 | 1961.5
67 | 476 | 1584 | 826 | 1997
68 | 481 | 1615 | 838 | 2034
69 | 485 | 1646 | 858 | 2075
70 | 490 | 1678 | 865 | 2110.5
71 | 495 | 1710 | 878 | 2149
72 | 500 | 1743 | 892 | 2189
73 | 505 | 1776 | 906 | 2229
74 | 510 | 1810 | 920 | 2270
75 | 515 | 1845 | 934 | 2312
76 | 519 | 1851 | 937 | 2319.5
77 | 523 | 1857 | 940 | 2327
78 | 527 | 1863 | 943 | 2334.5
79 | 531 | 1869 | 946 | 2342
80 | 535 | 1875 | 949 | 2349.5
81 | 539 | 1881 | 952 | 2357
82 | 543 | 1887 | 955 | 2364.5
83 | 547 | 1893 | 958 | 2372
84 | 551 | 1899 | 961 | 2379.5
85 | 555 | 1905 | 964 | 2387
86 | 559 | 1911 | 967 | 2394.5
87 | 563 | 1917 | 970 | 2402
88 | 567 | 1923 | 973 | 2409.5
89 | 571 | 1929 | 976 | 2417
90 | 575 | 1935 | 979 | 2424.5
91 | 579 | 1941 | 982 | 2432
92 | 583 | 1947 | 985 | 2439.5
93 | 587 | 1953 | 988 | 2447
94 | 591 | 1959 | 991 | 2454.5
95 | 595 | 1965 | 994 | 2462
96 | 599 | 1971 | 997 | 2469.5
97 | 603 | 1977 | 1000 | 2477
98 | 607 | 1983 | 1003 | 2484.5
99 | 611 | 1989 | 1006 | 2492
100 | 615 | 1995 | 1009 | 2499.5
101 | 619 | 2001 | 1012 | 2507
102 | 623 | 2007 | 1015 | 2514.5
103 | 627 | 2013 | 1018 | 2522
104 | 631 | 2019 | 1021 | 2529.5
105 | 635 | 2025 | 1024 | 2537
106 | 639 | 2031 | 1027 | 2544.5
107 | 643 | 2037 | 1030 | 2552
108 | 647 | 2043 | 1033 | 2559.5
109 | 651 | 2049 | 1036 | 2567
110 | 655 | 2055 | 1039 | 2574.5
111 | 659 | 2061 | 1042 | 2582
112 | 663 | 2067 | 1045 | 2589.5
113 | 667 | 2073 | 1048 | 2597
114 | 671 | 2079 | 1051 | 2604.5
115 | 675 | 2085 | 1054 | 2612
Lv | HP | Attack | Defense | BP
Force
Lv | HP | Attack | Defense | BP
1 | 235 | 453 | 296 | 601
2 | 237 | 462 | 301 | 612.5
3 | 240 | 470 | 305 | 622.5
4 | 242 | 479 | 310 | 634
5 | 244 | 489 | 315 | 646.5
6 | 247 | 498 | 320 | 658
7 | 249 | 508 | 325 | 670.5
8 | 252 | 517 | 330 | 682
9 | 254 | 527 | 335 | 694.5
10 | 257 | 537 | 341 | 707.5
11 | 259 | 548 | 346 | 721
12 | 262 | 558 | 351 | 733.5
13 | 264 | 569 | 357 | 747.5
14 | 267 | 580 | 362 | 761
15 | 269 | 591 | 368 | 775
16 | 272 | 602 | 374 | 789
17 | 275 | 613 | 380 | 803
18 | 277 | 625 | 386 | 818
19 | 280 | 637 | 392 | 833
20 | 283 | 649 | 398 | 848
21 | 286 | 662 | 404 | 864
22 | 288 | 675 | 410 | 880
23 | 291 | 687 | 417 | 895.5
24 | 294 | 701 | 423 | 912.5
25 | 297 | 714 | 430 | 929
26 | 300 | 728 | 437 | 946.5
27 | 303 | 742 | 444 | 964
28 | 306 | 756 | 451 | 981.5
29 | 309 | 770 | 458 | 999
30 | 312 | 785 | 465 | 1017.5
31 | 315 | 800 | 472 | 1036
32 | 318 | 816 | 479 | 1055.5
33 | 321 | 831 | 487 | 1074.5
34 | 324 | 847 | 495 | 1094.5
35 | 327 | 863 | 502 | 1114
36 | 331 | 880 | 510 | 1135
37 | 334 | 897 | 518 | 1156
38 | 337 | 914 | 526 | 1177
39 | 340 | 932 | 534 | 1199
40 | 344 | 949 | 543 | 1220.5
41 | 347 | 968 | 551 | 1243.5
42 | 351 | 986 | 560 | 1266
43 | 354 | 1005 | 569 | 1289.5
44 | 358 | 1024 | 578 | 1313
45 | 361 | 1044 | 587 | 1337.5
46 | 365 | 1064 | 596 | 1362
47 | 368 | 1084 | 605 | 1386.5
48 | 372 | 1105 | 614 | 1412
49 | 375 | 1127 | 624 | 1439
50 | 379 | 1148 | 634 | 1465
51 | 383 | 1170 | 644 | 1492
52 | 387 | 1193 | 654 | 1520
53 | 390 | 1216 | 664 | 1548
54 | 394 | 1239 | 674 | 1576
55 | 398 | 1263 | 685 | 1605.5
56 | 402 | 1287 | 695 | 1634.5
57 | 406 | 1312 | 706 | 1665
58 | 410 | 1337 | 717 | 1695.5
59 | 414 | 1362 | 729 | 1726.5
60 | 418 | 1389 | 740 | 1759
61 | 422 | 1415 | 751 | 1790.5
62 | 426 | 1442 | 763 | 1823.5
63 | 430 | 1470 | 775 | 1857.5
64 | 435 | 1498 | 787 | 1891.5
65 | 439 | 1527 | 799 | 1926.5
66 | 443 | 1557 | 812 | 1963
67 | 447 | 1586 | 828 | 2000
68 | 452 | 1617 | 837 | 2035.5
69 | 456 | 1648 | 850 | 2073
70 | 461 | 1680 | 864 | 2112
71 | 465 | 1712 | 877 | 2150.5
72 | 470 | 1745 | 891 | 2190.5
73 | 474 | 1778 | 905 | 2230.5
74 | 479 | 1812 | 919 | 2271.5
75 | 484 | 1847 | 933 | 2313.5
76 | 488 | 1853 | 936 | 2321
77 | 492 | 1859 | 939 | 2328.5
78 | 496 | 1865 | 942 | 2336
79 | 500 | 1871 | 945 | 2343.5
80 | 504 | 1877 | 948 | 2351
81 | 508 | 1883 | 951 | 2358.5
82 | 512 | 1889 | 954 | 2366
83 | 516 | 1895 | 957 | 2373.5
84 | 520 | 1901 | 960 | 2381
85 | 524 | 1907 | 963 | 2388.5
86 | 528 | 1913 | 966 | 2396
87 | 532 | 1919 | 969 | 2403.5
88 | 536 | 1925 | 972 | 2411
89 | 540 | 1931 | 975 | 2418.5
90 | 544 | 1937 | 978 | 2426
91 | 548 | 1943 | 981 | 2433.5
92 | 552 | 1949 | 984 | 2441
93 | 556 | 1955 | 987 | 2448.5
94 | 560 | 1961 | 990 | 2456
95 | 564 | 1967 | 993 | 2463.5
96 | 568 | 1973 | 996 | 2471
97 | 572 | 1979 | 999 | 2478.5
98 | 576 | 1985 | 1002 | 2486
99 | 580 | 1991 | 1005 | 2493.5
100 | 584 | 1997 | 1008 | 2501
101 | 588 | 2003 | 1011 | 2508.5
102 | 592 | 2009 | 1014 | 2516
103 | 596 | 2015 | 1017 | 2523.5
104 | 600 | 2021 | 1020 | 2531
105 | 604 | 2027 | 1023 | 2538.5
106 | 608 | 2033 | 1026 | 2546
107 | 612 | 2039 | 1029 | 2553.5
108 | 616 | 2045 | 1032 | 2561
109 | 620 | 2051 | 1035 | 2568.5
110 | 624 | 2057 | 1038 | 2576
111 | 628 | 2063 | 1041 | 2583.5
112 | 632 | 2069 | 1044 | 2591
113 | 636 | 2075 | 1047 | 2598.5
114 | 640 | 2081 | 1050 | 2606
115 | 644 | 2087 | 1053 | 2613.5
Lv | HP | Attack | Defense | BP
Techter
Lv | HP | Attack | Defense | BP
1 | 260 | 446 | 303 | 597.5
2 | 263 | 455 | 308 | 609
3 | 265 | 463 | 312 | 619
4 | 268 | 472 | 317 | 630.5
5 | 270 | 482 | 322 | 643
6 | 273 | 491 | 327 | 654.5
7 | 276 | 501 | 332 | 667
8 | 278 | 510 | 337 | 678.5
9 | 281 | 520 | 342 | 691
10 | 284 | 530 | 348 | 704
11 | 287 | 541 | 353 | 717.5
12 | 289 | 551 | 358 | 730
13 | 292 | 562 | 364 | 744
14 | 295 | 573 | 369 | 757.5
15 | 298 | 584 | 375 | 771.5
16 | 301 | 595 | 381 | 785.5
17 | 304 | 606 | 387 | 799.5
18 | 307 | 618 | 393 | 814.5
19 | 310 | 630 | 399 | 829.5
20 | 313 | 642 | 405 | 844.5
21 | 316 | 655 | 411 | 860.5
22 | 319 | 668 | 417 | 876.5
23 | 322 | 680 | 424 | 892
24 | 325 | 694 | 430 | 909
25 | 329 | 707 | 437 | 925.5
26 | 332 | 721 | 444 | 943
27 | 335 | 735 | 451 | 960.5
28 | 338 | 749 | 458 | 978
29 | 342 | 763 | 465 | 995.5
30 | 345 | 778 | 472 | 1014
31 | 348 | 793 | 479 | 1032.5
32 | 352 | 809 | 486 | 1052
33 | 355 | 824 | 494 | 1071
34 | 359 | 840 | 502 | 1091
35 | 362 | 856 | 509 | 1110.5
36 | 366 | 873 | 517 | 1131.5
37 | 369 | 890 | 525 | 1152.5
38 | 373 | 907 | 533 | 1173.5
39 | 377 | 925 | 541 | 1195.5
40 | 380 | 942 | 550 | 1217
41 | 384 | 961 | 558 | 1240
42 | 388 | 979 | 567 | 1262.5
43 | 392 | 998 | 576 | 1286
44 | 396 | 1017 | 585 | 1309.5
45 | 399 | 1037 | 594 | 1334
46 | 403 | 1057 | 603 | 1358.5
47 | 407 | 1077 | 612 | 1383
48 | 411 | 1098 | 621 | 1408.5
49 | 415 | 1120 | 631 | 1435.5
50 | 419 | 1141 | 641 | 1461.5
51 | 424 | 1163 | 651 | 1488.5
52 | 428 | 1186 | 661 | 1516.5
53 | 432 | 1209 | 671 | 1544.5
54 | 436 | 1232 | 681 | 1572.5
55 | 440 | 1256 | 692 | 1602
56 | 445 | 1280 | 702 | 1631
57 | 449 | 1305 | 713 | 1661.5
58 | 453 | 1330 | 724 | 1692
59 | 458 | 1355 | 736 | 1723
60 | 462 | 1382 | 747 | 1755.5
61 | 467 | 1408 | 758 | 1787
62 | 472 | 1435 | 770 | 1820
63 | 476 | 1463 | 782 | 1854
64 | 481 | 1491 | 794 | 1888
65 | 486 | 1520 | 806 | 1923
66 | 490 | 1550 | 819 | 1959.5
67 | 495 | 1579 | 832 | 1995
68 | 500 | 1610 | 844 | 2032
69 | 505 | 1641 | 857 | 2069.5
70 | 510 | 1673 | 871 | 2108.5
71 | 515 | 1705 | 884 | 2147
72 | 520 | 1738 | 898 | 2187
73 | 525 | 1771 | 912 | 2227
74 | 530 | 1805 | 926 | 2268
75 | 535 | 1840 | 940 | 2310
76 | 539 | 1846 | 943 | 2317.5
77 | 543 | 1852 | 946 | 2325
78 | 547 | 1858 | 949 | 2332.5
79 | 551 | 1864 | 952 | 2340
80 | 555 | 1870 | 955 | 2347.5
81 | 559 | 1876 | 958 | 2355
82 | 563 | 1882 | 961 | 2362.5
83 | 567 | 1888 | 964 | 2370
84 | 571 | 1894 | 967 | 2377.5
85 | 575 | 1900 | 970 | 2385
86 | 579 | 1906 | 973 | 2392.5
87 | 583 | 1912 | 976 | 2400
88 | 587 | 1918 | 979 | 2407.5
89 | 591 | 1924 | 982 | 2415
90 | 595 | 1930 | 985 | 2422.5
91 | 599 | 1936 | 988 | 2430
