# Innerwear — Undergarment Catalog (Part 1)

Sections in this file: List of NGS Innerwear (Type 1)

Fashion Directory
Full Setwear Totalwear Setwear Outerwear Basewear Innerwear Head Parts Body Parts Arm Parts Leg Parts Accessories Hairstyles Eyes Eyebrows Eyelashes Teeth Ears Horns Faces Makeup Body Paints Skin Patterns Portable Holograms Voices Motions Hand Poses Emotes Stickers Change to Simplified View | Full Setwear | Totalwear | Setwear | Outerwear | Basewear | Innerwear | Head Parts | Body Parts | Arm Parts | Leg Parts | Accessories | Hairstyles | Eyes | Eyebrows | Eyelashes | Teeth | Ears | Horns | Faces | Makeup | Body Paints | Skin Patterns | Portable Holograms | Voices | Motions | Hand Poses | Emotes | Stickers | Change to Simplified View
Full Setwear | Totalwear | Setwear | Outerwear | Basewear | Innerwear
Head Parts | Body Parts | Arm Parts | Leg Parts
Accessories
Hairstyles | Eyes | Eyebrows
Ominous Crow/2 [In] | AC Scratch Tickets: Moonlight Sanctuary '22 | 09/07/22
Nacht Tiger [In] | AC Scratch Tickets: Spiritual Conflict | 06/21/23
Nacht Tiger/2 [In] | AC Scratch Tickets: Spiritual Conflict | 06/21/23
Zenischief [In] | SG Scratch Tickets: Resurgent Force | 07/12/23
Zenischief/2 [In] | SG Scratch Tickets: Resurgent Force | 07/12/23
Diablo Striker [In] | AC Scratch Tickets: Designer Dreams Aug '23 | 08/02/23
Diablo Striker/2 [In] | AC Scratch Tickets: Designer Dreams Aug '23 | 08/02/23
Big Stylin' T1 [In] | AC Scratch Tickets: Street Beat | 10/11/23
Big Stylin' T1/2 [In] | AC Scratch Tickets: Street Beat | 10/11/23
Evil Salamande [In] | AC Scratch Tickets: Elemental Defender | 11/08/23
Evil Salamande/2 [In] | AC Scratch Tickets: Elemental Defender | 11/08/23
Evil Salamande/B [In] | AC Scratch Tickets: Elemental Defender | 11/08/23
Evil Salamande/B2 [In] | AC Scratch Tickets: Elemental Defender | 11/08/23
Rappy Innerwear [In] | AC Scratch Tickets: Starlight Fashion | 02/07/24
Rappy Innerwear/B [In] | AC Scratch Tickets: Starlight Fashion | 02/07/24
Striped Inner T1 [In] | AC Scratch Tickets: Vintage Classics | 04/10/24
Striped Inner T1/2 [In] | AC Scratch Tickets: Vintage Classics | 04/10/24
Surfer Marino [In] | AC Scratch Tickets: Summer Sky Seaside '24 | 07/03/24
Surfer Marino/2 [In] | AC Scratch Tickets: Summer Sky Seaside '24 | 07/03/24
Shrine Bearer Inner T1 [In] | AC Scratch Tickets: Halpha Summer Splash | 07/31/24
Shrine Bearer Inner T1/2 [In] | AC Scratch Tickets: Halpha Summer Splash | 07/31/24
Cable Sweater Inner [In] | AC Scratch Tickets: Joyful Holly-days '24 | 11/27/24
Cable Sweater Inner/2 [In] | AC Scratch Tickets: Joyful Holly-days '24 | 11/27/24
Oboro Wargod [In] | AC Scratch Tickets: Demonic Elegance | 01/22/25
Oboro Wargod/2 [In] | AC Scratch Tickets: Demonic Elegance | 01/22/25
Enamel Inner T1 [In] | AC Scratch Tickets: Neon Cat Martial | 02/26/25
Enamel Inner T1/2 [In] | AC Scratch Tickets: Neon Cat Martial | 02/26/25
Mechanized Suit T1 [In] | AC Scratch Tickets: Multi Remix Line | 03/11/25
Low-rise Underwear T1 [In] | AC Scratch Tickets: Punkish Street | 04/29/25
Low-rise Underwear T1/2 [In] | AC Scratch Tickets: Punkish Street | 04/29/25
Simple Body Suit T1 [In] | AC Scratch Tickets: Luxury Bath Time | 06/24/25
Simple Body Suit T1/2 [In] | AC Scratch Tickets: Luxury Bath Time | 06/24/25
Neu Mechanized Suit T1 [In] | AC Scratch Tickets: Multi Remix Line Jul '25 | 07/16/25
One-Shoulder Harness T1 [In] | AC Scratch Tickets: Elegant Harmony '25 | 08/26/25
One-Shoulder Harness T1/2 [In] | AC Scratch Tickets: Elegant Harmony '25 | 08/26/25
Teufel Lein T1 [In] | AC Scratch Tickets: Nightmare Carnival | 10/22/25
Teufel Lein T1/2 [In] | AC Scratch Tickets: Nightmare Carnival | 10/22/25
Plaid Innerwear T1 [In] | AC Scratch Tickets: Stylish Autumn '25 | 11/05/25
Plaid Innerwear T1/2 [In] | AC Scratch Tickets: Stylish Autumn '25 | 11/05/25
Translucent Body Suit T1 [In] | AC Scratch Tickets: Joyful Holly-days '25 | 12/17/25
Translucent Body Suit T1/2 [In] | AC Scratch Tickets: Joyful Holly-days '25 | 12/17/25
Chilkasual T1 [In] | AC Scratch Tickets: Modish Winter '26 | 01/07/29
Chilkasual T1/2 [In] | AC Scratch Tickets: Modish Winter '26 | 01/07/29
Lace-up Inner T1 [In] | AC Scratch Tickets: Demonic Elegance '26 | 01/28/26
Lace-up Inner T1/2 [In] | AC Scratch Tickets: Demonic Elegance '26 | 01/28/26
Dragfortis T1 [In] | AC Scratch Tickets: Mystical Reverie '26 | 03/03/26
Dragfortis T1/2 [In] | AC Scratch Tickets: Mystical Reverie '26 | 03/03/26
Cardigan Over T1 [In] | AC Scratch Tickets: Stylish Avenue '26 | 04/14/26
Cardigan Over T1/2 [In] | AC Scratch Tickets: Stylish Avenue '26 | 04/14/26
Back to Top
